porti,携带
ekskludi,排除
ekskluziva,排他,专门
ekskluzive,除外
ekskluzivi,排斥,排除
ekskrecii,分泌,排泄
ekskremento,粪,排泄物
ekskursi,漫游,游览
ekskurso,郊游,旅行,远足
ekskuzi,辨解
ekspansii,扩张,膨胀
ekspansiismo,扩张主义
ekspedi,打发,调度,发送,寄出,派谴,托运
ekspedicio,远征
eksperimenta parcelo,试验田
eksperimentejo,实验室
eksperimenti,试验
eksperimento,实验
ekspertizi,鉴定
eksperto,熟手,专家
ekspliki,阐明,阐述,陈述,讲解,解释,解说,说明
eksplodajho,爆炸物,炸药
eksplodema,暴躁,易爆
eksplodi,爆发,爆炸
eksplodigi,激发
ekspluata klaso,剥削阶级
ekspluati,剥削,开采,开发,开垦,盘剥,榨取
eksponi,曝光,曝光,展出,展览,展示
eksponmetro,曝光表
eksponsiigi,扩充
eksporti,出口,输出
ekspozicii,陈列,展出,展览,展示
ekspozicio,展览会
ekspresa,特快
ekspresa poshtajho,快递邮件
ekspresa trajno,快车
ekspreso,特别快车
ekstazi,狂喜
ekstera,外部,外面
ekstera helpo,外援
ekstera komerco,对外贸易,外贸
ekstera politiko,外交政策
ekstera shuldo,外债
eksterajho,外表
eksterdoma,室外
eksterdome,外边
ekstere,外边
eksterkorpa cirkulado,体外循环
eksterlanda,国外,海外,外国
eksterlanda afero,外交,外事
eksterma batalo,歼灭战
ekstermi,歼灭,消灭
eksterordinara,出奇,非常,奇特,特出,特殊,异常
eksterordinare,特别
ekstersezona,淡季
ekstra,额外
ekstradicii,引渡
ekstrakti,提炼
ekstrakto,精华
ekstrema,过激,极端
ekstremajho,末端
ekstreme,绝顶
ekstremismo,极端主义
ekstremo,极,末端
ektomio,切除
ekvacio,方程式
ekvatoro,赤道
ekveturi,动身
ekvilibro,均衡,平衡
ekvivalento,当量
ekzakta,精密,精确,正确的,准确
ekzakte,确切
ekzamena demandaro,考卷
ekzameni,测验,检查,检验,考核,考试,审查
ekzatigho,得意
ekzekutejo,刑场
ekzekuti,处决,处死,正法
ekzekutisto,刽子手
ekzemo,湿疹
ekzemple,比方,例如,譬如
ekzemplero,册
ekzemplo,表率,典范,范例,例句,例子,模范,事例,样板
ekzercejo,操场
ekzerci,操练,练习,训练,演习
ekzili,放逐,流放
ekzilighi,流亡
ekzisiti,有
ekzisti,存在,生存
ekzot(ik)a,外来
elacheti,赎买
elakvigi,打捞
elasta,弹力,有弹力
elasteco,弹性
elcherpi,耗尽,汲尽
elcherpighi,精疲力竭
eldangherighi,脱险
eldangherigi,援救
eldoni,出版
eldono,版本
elefanto,象
eleganta,典雅,秀气,雅致,优美的,幽雅
elegante,文雅
elegio,哀歌,悲歌,挽歌
elektdistrikto,选区
elektema,挑剔
elekti,挑选,推举,推选,选拔,选举,选择
elektitaj verkoj,选本,选集
elektra drato,电线
elektra drilo,电钻
elektra energio,电能
elektra kampo,电场
elektra kapacito,电容
elektra kondukado,导电
elektra lampo,电灯
elektra lokomotivo,电机车
elektra mashino,电机
elektra mezurilo,电气仪表
elektra motoro,电动机,电机
elektra povo,电力
elektra segho,电椅
elektra sonorilo,电铃
elektra veldo,电焊
elektra ventumilo,电扇,风扇
elektraforno,电炉
elektristo,电工
elektro,电
elektrodo,电极
elektroekzekuti,电死
elektrokemio,电化学
elektrokomputilo,电表,电度表
elektrolito,电解质
elektrolizi,电解
elektromagnetismo,电磁学
elektrona industrio,电子工业
elektrona instrumento,电子仪器
elektrona mikroskopo,电子显微镜
elektrona teleskopo,电子望远镜
elektrona tubo,电子管
elektronika kalkulmashino,电子计算机
elektrono,电子
elektropovo,电功率
elektrostatiko,静电学
elektroterapio,电疗
elementa,切等,基本
elementa lernejo,小学
elementa matematiko,初等数学
elemento,成份,分子,元件,元素
elevatoro,起重机,升降机
elfandi,铸造
elfari,完成,制成,作成
elflui,流出
elfosi,挖掘
elgliti,偷偷溜掉
elhospitalighi,出院
elighi,长出
elimini,排除,破除,淘汰,消除
elimini analfabetecon,扫盲
elipsa,椭圆
elipso,省略法
elirejo,出口,出路
eliri,出去,走出
eliro,出路
elita,精锐,优良
elita trupo,精锐部队
elitigo de trupoj kaj simpligo de administrado,精兵简政
elito,精华,中坚
elkora,真心的
elkore,由衷
elkrepuskighi,破晓
elkreski,长出
ellabori,制成,制定,作成
ellasi,省略
ellasi akvon,小解
ellerni,学完
ellitighi,起床
ellitighi frue,早起
elmergighi,露出水面
elmeti,提出
elmini,除掉
elmodighi,过时
elmontri,出示,显示
elnodigho,结局
elokventa,善辩,雄辩
elokventeco,口才
elpafi,射出
elpaki,解包,开捆
elparoli,发音
elpashi,跨出,走出
elpatriigi,放逐
elpatrujigi,流放
elpeli,清除
elpensi,发明
elpeti,求得
elpoenti,赢得
elporti,经受,忍受
elpremi,排挤,搜刮
elpurigi,提纯
elradikigi,铲除,根除,根绝
elrelighi,脱轨
elsaltulo,暴发户
elshalti,拉闸
elspezi,花费,支出,支付
elspezo,费用,开支
elspiri,散发
elstara,出色,杰出,特出,突出,卓越
elstreki,删掉
elsuchi,吸尽
elteni,经受,忍受
elterighi,出土
elterigi,出土,挖掘
eltiri,提炼
eltrudi konfeson,逼供
elturni sin,摆脱,解脱
elturnighi,摆脱,解脱
eluzi,用坏,用旧,用破
eluzita akvo,废水
eluzita gaso,废气
eluzita likvo,废液
elvershi,发泄,倾倒
elvolvi,展开
em,倾向
emajli,上釉,涂釉
emajlo,珐琅,搪瓷,釉
emancipi,解放
emancipigho,自由
embarasa,为难
embarasa silentado,冷场
embarasi,困扰,迷惑
embaraso,尴尬,窘迫,困惑,困境,狼狈
emblemo,纹章,象征
embrazuro,枪眼
embrio,胚胎
embuski,打埋伏,伏击
embuskigi,设置埋伏
embusko,埋伏
emerita salajro,养老金
emerito,迟休者
emerituro,退休金
emfazi,强调,着重,重视,着重
eminenta,杰出,优秀的,卓越
eminenta verkisto,文豪
eminentularo,名流
eminentulo,名人
emisii,发行
emo,嗜好
emocia,令人感动
emocii,感动
emociighema,易激动
emocio,激动,激情
empiriismo,经验主义
emulsio,乳胶
en cheesto,在场
en fronto,前面,前头
en koluzio kun,勾结
en la centro,当中
en la mezo,当中
en la pasinteco,从前,已往
en la sama tempo,同时
en palpebruma dawro,瞬息,转眼
en potenco,当权,当政
enbrakigi,拥抱
encefalito,脑炎
enciklopedio,百科全书
endangherighi,遇险
endangherigi,危害
endoma,室内
endormighi,入睡
energia fonto,动力资源
energia krizo,能源危机
energie,起劲
energio,干劲,活力,精力,能,毅力
enfali,陷入
enfalilo,圈套,陷阱
enfalujo,陷阱
enfermi,禁闭,禁锢
enfluejo,入海口
engluti,吞没
enhaveco,容量
enhavi,包含
enhavo,目录,内容
enigmo,谜语
enira vizo,入境签证
enirejo,进口,入口
eniri,进来,进入,走近
enjungi,套车
enkadrigi,加框子
enkalkuli,包含,算入
enkaptighi,进圈套,入陷阱
enkarcerigi,监禁,拘押
enketi,调查,考察
enketo,审理
enkonduki,介绍,领进,引入
enkonduko,导言
enkorpigi,体现
enkudriligi,穿针
enladigi,装罐头
enlanda,国内
enlanda rivero,内河
enmarigho,入海口
enmatrikuligi,注册
enmiksajho,杂质
enoficigi,任命,委任
enoficigi nur law nepotismo,任人唯亲
enoficigi nur law personaj kvalitoj,任人唯贤
enpaghighi,拚版
enpaki,打包
enpensighi,深思
enradikighi,生根,扎根
enradikigi,确立,深入
ensemblo,文工团
enshtelighi,溜进
ensorchi,迷惑
enspezi,收入
enspezo,收益
enspiri,吸,吸入
enteni,包含,容纳
enterigi,埋葬,下葬
enterito,肠炎
entjero,整数
entombigi,安葬
entomologio,昆虫学
entrepreni,承办,经营,兴办
entreprenl,从事
entrepreno,企业
entrudighi,侵略,侵入
entute,总共
entuziasma,热烈,热心
entuziasmo,干劲,热忱,热情
enui,厌倦
enuiga,烦人
enuigi,厌烦
enveni,进来,性交
enviema,好嫉妒
envii,忌妒,羡慕
envolvi,卷入,席卷
enzimo,酶
eomiksighi,参与
epidemia,流行性
epidemio,流行病,瘟疫,疫病
epigrafo,题词,题字
episkopo,主教
epitafo,碑文,墓志铭
epiteto,定语
epitomigi,删节
epitomo,提要
epizodo,插话,插曲
epokfara,划时代
epoko,年代,时代
epologo,尾声
epopeo,史诗,英雄史诗
eposo,叙事诗
erao,纪元,年代,年号,时代
erara impreso,错觉
erara vojo,歧途,斜路
erare kompreni,误会
erare kulpigi,错怪
erari,失足
erarlumo,鬼火,磷火
eraro,差错,错误,过错,过失,偏差
erartabelo,勘误表
erarvagi,迷路
eratumo,勘误表
erco,矿石
ercoekspluati,采矿
erinaco,刺猬
ermito,隐士
erpi,耙
erpilo,耙子
erudicio,渊博
erudiclo,博学
erupcio,皮疹
escepte,除外,例外地
esceptokaze,例外地
esenco,本质,大意,实质,香精,要素
eseo,小品文,杂文
eshafodo,断头台
eskadro,舰队
eskalatoro,电梯
eskalo,云梯
eskapi,漏网,逃避
eskapi el danghero,脱险
eskapinta krimulo,逃犯
eskorta shipo,护航舰
eskorti,护送,押送
esperantismo,世界语主义
esperantisto,世界语者
Esperanto,世界语
esperi,希望,指望
esperiga,有希望
espero,期望,心愿
esplori,调查,考察,探查,探索,探险,研究
esplorrigardi,端详,侦察
esprimi,表达,表明,表示,表现,发泄
esprimi bedawron,道歉,赔罪
esprimi dankon,答谢,致谢
establi,创办,建立,设立,树立
estetika jughkapablo,审美力
estetiko,美学
esti,有
esti aneksita,沦亡
esti arestita,被捕
esti charmita,心醉
esti civilizita,开化
esti elektita,当选
esti en danghero,遇险
esti en dilemo,进退维谷
esti ensorchita,心醉
esti for de danghero,脱险
esti humiligita,受辱
esti kaptita,被俘,落网
esti komisiita,受托
esti kontente ekzaltita,得意忘形
esti lerta en,善于,擅长
esti malsukcesigita,受挫
esti okupata de la agresantoj,沦亡
esti plagita,受灾
esti premiita,受奖
esti publikigita,问世
esti ravita,心醉
esti sperta en,擅长
esti sunfrapita,受暑
esti timigita,受惊
esti torturita,受刑
esti trompita,上当,受骗
estighi,形成
estigi,产生,引起
estimata kaj amata,敬爱
estimi,崇敬,敬仰,敬重,尊重
estimo,尊敬
estingi,扑灭,熄灭
estingi fajron,灭火
estinteco,过去
estonteco,将来,前程,前途,未来
estrarano,领导成员
estraro,领导班子
estri,率领
estro,首领,首脑,首长,头头,头子,主任
eta,小
etaghdomo,楼房
etagho,楼层
etapo,阶段,宿营地,行程
etburgharo,小资产阶级
etburgho,小资产阶级
etendi,扩展,铺开,伸展,延长,展开
etendi la membrojn,伸懒腰
etendighi,延伸
eterna,永恒的,永久
eterne,万古
eterne ripozi,长眠
Eternulo,上帝
etiketo,标签,礼节,礼仪
etiko,伦理
etimologio,词源
etnologio,人种学
etudo,练习曲
evento,事变,事件
eventualo,可能
evidenta,明显
evidente,无疑,显然
eviti,避免,躲避,回避,闪避,逃避,推脱,推卸
evolui,发展,进化,进展,演变,演化
evoluismo,进化论
evoluo,衍变
ewgeniko,优生学
ewkalipto,按树
ewnuko,宦官,太监
Ewropa Ekonomia Komunumo,欧洲经济共同体
Ewropa Sekureca Konferenco,欧洲安全会议
Ewropo,欧洲
ezofago,食道,食管
fabelo,童话
fabkazeo,豆腐
fablo,寓言
fabo,蚕豆
fabrika domo,厂房
fabrikestro,厂长
fabriki,研制,造,制造,制作
fabrikmarko,商标
fabriko,厂子,工厂,制造厂
facila,轻松,容易
facile,轻易
facile alirebla,平易
facile komprenebla,好懂
facileco,便利
faciligi,便于
facilmova,敏捷
faco,面
fadeno,线
fagopiro,荞麦
fajencajho,陶瓷,陶器
fajenco,陶土
fajfi,吹口哨
fajfilego,汽笛
fajfilo,哨子
fajli,锉,推敲,琢磨
fajlilo,锉子
fajna,精良,精细,优良
fajna lano,细羊毛
fajra,火热
fajrajho,爆竹,烟火,焰火
fajrero,火花,火星,星火
fajri,着火
fajrigi,点火
fajrilo,打火机
fajrobrigado,救火队,消防队
fajroestingisto,救火队员,消防队员
fajroprenilo,火筷子
fajrorezisto,耐火
fajroshtono,燧石
fajrosoldato,消防队员
fajrostango,炉钎
fajrujo,火盆
faka,专门
fakisto,专家
fako,科,学科,专业
fako de internaj malsanoj,内科
faksimilo,传真,摹本
fakte,其实,事实上
fakto,事实,真情
faktoro,因数,因素
fakturo,单据,发票,收据,收条
fakulo,专家
fakultato,系
falakvo,瀑布
falchatoro,收割机
falchi,割
falchilo,镰刀
falchomashino,收割机
faldsego,折椅
falema,易落
faleti,失足
falfolia,落叶
fali,倒下,跌倒,垮台,衰亡,摔跟头
fali en kaptilon,进圈套
faligi,打倒,打翻
falo,倒台
falpushighi,绊倒
falsa,假,伪,虚假
falsa dento,假牙
falsa mono,伪币
falsa raporto,虚报
falsa teorio,谬论
falshancelighi,失足
falsi,篡改,假冒,假造,伪造
falto,皱纹
fama,驰名,闻名,有名,著名
fama marko,名牌
fama persono,名人
famacha,臭名昭著
fame,闻名
famighi,出名
famighi势,扬名
familia eduko,家教
familia financa situacio,家境
familia historio,家史
familia parcelo,自留地
familia posedajho,家产,家当
familiaj membroj,家属
familiano,亲属
familiara,亲密,亲切,随便
familiestro,户主,家长
familinomo,姓
familio,户,家,家庭,语系,族
famo,风声,流言,名气,名声,盛名,谣言
fanatika,狂热
fandforno,熔炉
fandi,熔解,冶,冶炼,铸
fandigilo,熔剂
fanfaroni,吹牛,吹嘘,夸耀,说大话,自吹
fantazia,荒唐,离奇
fantazii,空想,想象
fantazio,幻想,奇想,想入非非
fantomo,鬼,鬼魂,幽灵
farbi,染色,着色
farbisto,油漆工
farbo,颜料,油彩
farcho,夹馅,馅
fari,办理,造,造成,制造,制作,做
fari malbonon,作恶
fari meritojn por kompensi siajn krimojn,立功赎罪
fari militon,开战
fari ofensivon,进攻
fari paroladon,演讲
fari revolucion,闹革命
fari transkapighon,翻跟头
fari unue kaj reporti poste,先斩后奏
farighi,变成,成为
farighi helpanto de la malamiko,为虎作伥
farighi komplico,协从
farighimonahho (aw monahhino),出家
faringo kaj laringo,咽喉
farmacia fabriko,药厂
farmaciisto,司药
farmacio,药物学
farmakologio,药理学
farmakopeo,药典
farmanto,佃户,佃农
farmi,租佃
farmilo,佃农
farmisto,佃户
farmo,农场
farmulo,佃户
faro,事迹,事业,行为,作为
farso,丑剧,滑稽戏,闹剧,趣剧,笑剧
faruno,白面,面粉
fascinighi,入迷
fashismo,法西斯主义
fasko,一把,一捆,一束
fasoni,剪裁
fasti,斋戒
fasto,绝食
fatala,注定的
fatalajho,恶运,灾祸
fatalismo,宿命论
fatalo,命运
fatamorgano,海市蜃楼
favo,头疮,头癣
favora,顺利
favorato,宠儿,亲信
favori,宠爱,偏爱,偏心,有利
favorkoreco,怜悯,同情
favoro,恩典,恩惠,优惠
favra saldo,顺差
favulo,癞子
fawda ekzamena sistemo,科举制度
fawko,巨口,口,口子,深渊
fawlto,断层
febla,衰弱,微弱,纤弱,虚弱
febra,狂热
febro,发烧,热病,热情
februaro,二月
fecho,糟粕,渣滓
federaciismo,联邦制
federacio,联邦,联合会,联盟
federacio de laboristaj sindikatoj,总工会
feino,仙女
fekajho,粪
feki,大便,拉屎
feksegho,马桶
fekulo,淀粉
fekunda,多产,肥沃,富饶
fekunda kampo,良田
fekundigi,繁殖,生殖
fekundigo,配种
fela floso,皮筏
felicha tago,吉日
felichego,洪福
felicho,吉庆,幸福,幸运,运气
felo,皮,皮货,生皮
felsako,皮袋子
felta chapelo,毡帽
felta shuo,毡鞋
felto,毛毡,毡
femala,雌
femuro,大腿
fendego,深渊
fendi,分裂,劈
fendi ondon,破浪
fendo,裂缝,裂口
fenestro,窗,窗口
fenestrobreto,窗台
fenestroframo,窗框
fenestrolatisto,窗棂子
fenikso,凤凰
fenomeno,现象
feo,精灵,妖精
fera,铁一般
fera bildo,铁画
fera drato,铁丝
fera tubo,铁管
ferajhisto,铁匠
ferajho。,铁器
ferbetono,钢筋混凝土
ferdeko,甲板
ferio,假日,休假日
ferlado,白铁皮,洋铁片
ferma parolado,闭幕词
fermenti,发酵
fermento,酵母
fermi,关闭
fero,铁
feroca,凶暴,凶恶
ferplato,铁板
ferrubo,废铁
ferubo,铁屑
fervoja stacio,车站
fervojo,铁道,铁路
fervora,热心
fervore deziri,热望
fervoro,热情
festeno,宴会,宴席
festi,庆祝
festivalo,联欢节
festo,节日
fetichismo,拜物教
feto,毛皮,胎儿
fewda mastro,封建主
fewdestro,领主
fewdismo,封建主义
fewdmastro,领主
fewdo,封地,领地
fewdulo,领主,诸侯
fiamjhetilo,火焰喷射器
fiamo,火焰
fian(in)ighi,订婚
fianchino,未婚妻
fiancho,未婚夫
fiankrigardi,鄙视
fiartabako,鼻烟
fiaski,失败
fiaskigi,挫败
fiasko,惨败,大败
fibro,纤维
fidela,忠诚,忠实,忠贞
fidelulo,信徒
fidi,相信,信任
fidinda,可靠
fido,信心
fiera,高傲,骄傲,自大的,自负
fiere rigardi,傲视
fiereco,自豪
fieri,翘尾巴
fiero,自豪
fifama,臭名昭著
figo,无花果
figro,手指
figuranto,跑龙套,配角
figuro,轮廓,人物,人像,身影,外形,形象,形状
fiinsekto,害虫
fikcia romano,幻想小说
fikcio,虚构
fikomercisto,奸商
fiksa aktivo,固定资产
fiksa kapitalo,固定资本
fiksa kurzo,固定汇率
fiksdate,定期
fikse regardi,凝视
fikse rigardi,盯
fiksi,定影,固定,规定,确定
fiksi kvanton,定量
fiksi rigardon sur,盯
fiksita prezo,定价
fiksloghi,落户
fiktiva,虚拟
filantropia entrepreno,慈善事业
filatelisto,集邮家
filatelo,集邮
fileca obeemo,孝顺
filharmonio,乐团
filigrano,水印,网
filino,闺女,女儿
filio,分行,分会,分支,支部
filmaktoro,电影演员
filmi,拍电影
filmo,电影,胶片,软片,影片
filmoteatro,影院
filo,儿子,子
filologio,语言学
filologo,语言学者
filozofio,哲学
filozofo,哲学家
filtri,过滤
filtrighi,渗透
filtrilo,滤色镜
filtropapero,滤纸
fina,最后的
fina kalkulo,决算
finajho,词尾
finalo,决赛
financa helpo,资助
financa kapitalisto,金融资本家
financa kapitalo,金融资本
financa krizo,金融危机
financa magnato,财阀
financaj aferoj,财务
financo,财政,金融
financo kaj komerco,财贸
fine,终究
finfine,到底
fingringo,顶针
fingro,指头
fingroringo,指环
fini,结束,完毕,完成
fini dejhoron,下班
fini laboron,下班
finighi,结束,完结
finigho,终了
fino,极,结局,尽头,末,末端,下场,终点
finstacio,终点站
fiorbrasiko,菜花
firma,坚定,牢固
firmamento,苍天,太空
firmao,商行
firme,坚决
firmeco,决心
firmigi,巩固,增强
fisha odoro,腥味儿
fishaglo,鱼鹰
fishejo,渔场
fishepata oleo,鱼肝油
fishhoki,垂钓,钓鱼
fishhoko,钓钩,鱼钩
fishisto,渔夫
fishkano,鱼竿
fishkaptejo,渔场
fishkapti,捕鱼
fishkaptisto,渔夫
fisho,鱼
fishreto,鱼网
fishstango,钓竿
fisio,裂变
fisko,国库
fiue,畅达地
fiulo,坏分子
fiustri,潺潺
fizika laboro,体力劳动
fizikisto,物理学家
fiziko,物理
fiziologio,生理学
fizionomio,面貌,相貌
fizioterapio,理疗
flaga signalo,旗语
flago,旗
flagreti,摇曳
flagri,闪烁
flami,燃烧
flamigi,点燃
flamo,烈火,怒火,热情
flanka,旁边
flanka pordo,边门
flankenighi,靠边
flanklinio,边线
flanko,边,侧面,方面,面
flankrigardo,白眼
flara nervo,嗅神经
flara senso,嗅觉
flari,闻,嗅
flati,吹捧,阿诀,逢迎,奉承,恭维,溜须拍马,拍马屁,讨好,献媚
flava,黄色
flavulo,黄种人
flawlino,小姐
flawro,植被
flegi,护理,看护,培植,侍候
flegistino,护士,看护
flegma,冷淡,冷漠
fleksebla,柔软
fleksi,弯曲
fleksighi,屈服
flikajho,补钉
fliki,缝补,修补
flirtema,轻浮,轻狂
flirti,飞舞,卖弄风情,卖俏,飘,飘荡,飘扬,调情
floko,片
florbedo,花坛
florburghono,花蕾
flori,开花
florkorbo,花篮
florkrono,花圈
flormielo,花蜜
floro,花
florvazo,花盆
flosdoko,浮船坞
flosgruo,浮吊
flosi,浮动,漂浮,漂流,飘荡
flosilo,浮子
floslinio,吃水线
floso,筏子,木筏,木排
flosponto,浮标
flosvojo,水路
floto,船队,舰队
flua,流畅,流利
flua akvo,流水
fluajho,流动物,液体
fluejo,河床
flugcindro,烟尘
flugfisho,飞鱼
flugfolio,传单
flughaveno,飞机场,机场
flugi,飞,飞行
flugilo,翅膀
flugmashino,飞机
flugpilko,排球
flui,流,流动
fluidajho,流动物
fluido,流体
fluilo defluilo,排水管
flukvanto,流量
fluo,潮流,水流
fluoreska lampo,日光灯
fluso,潮,潮汐,涨潮
flustri,嘀咕,耳语,悄悄话,飒飒,私语
fluti,吹笛
foira tago,集日
foirejo,市场
foiro,博览会,集市,庙会,市集
foje-refoje,反复,屡次
fojheti,扔掉
fojno,草料,干草,饲草,饲料
fojo,次,次数
foko,海豹
fokusi,聚焦
fokuso,焦点
folia rusto,叶锈病
folio,叶,页
foliumi,翻阅
folivolva insekto,卷叶虫
folklora kanto,歌谣
folkloro,民间故事
fondi,成立,创办,创立,缔造,建立,开办,设立
fondinto,创始人,奠基人
fonduso,基金,资金
fonetika litero,拼音字母
fonetika simbolo,音标
fonetiko,语音学
fonkolo,茴香
fono,背景
fontakvo,泉水
fontano,喷泉,喷水池
fonto,根源,来源,泉,源泉
fontoplumo,钢笔,自来水笔
fora,边远,偏僻,远
forbalai,扫除,扫荡,席卷
forcejo,暖房,温室
foreskorti,押走
foresti,缺席
forfali,失落
forfandi,熔化
forflui,流失
forgesema,健忘
forgesemo,忘性
forgesi,忘记,忘却,遗忘
forghi,冶,冶炼
forghisto,锻工
forgliti,偷偷溜掉
forgliti el mano,脱手
forgluti,吞噬
forighi,清除,消失
forigi,除掉,排除,消除
forigi sieghon,解围
foriri,离开
forjetita materialo,废料
forjhetajho,废物
forjheti,丢掉,丢弃,抛,抛掉,抛弃
forjhetita papero,废纸
forko,叉
forkomerci,卖掉,脱手
forkonduki,引开
forkonsumi,耗尽
forkuri,奔逃,漏网,逃走
forlasi,打消,放弃,废弃,离开,抛弃
forlasi la landon,出境
forlasi oficon,离职
forleki,舔去
forlogi,诱离
formala,正式的
formalajho,形式,仪式
formala：regula,正规的
formalismo,形式主义
formalo,形式
formato,版式,开本
formeti,弃置
formi,构成,组成
formighi,结成,形成
formiko,蚂蚁,蚁
formo,程式,外貌,外形,形式,形态,形状
formulo,程式,格式,公式,式子
forno,火炉,烤炉,炉
fornokesto,烤箱
foro tempighi,过时
foroferi,牺牲
forpasi,去世,逝,逝世,消逝
forpasinta,已故
forperei,消亡
forpermeso,准假
forpeti sin,请假
forporti,运走
forpremi,排挤
forpreni,拿开
forpushi,拒绝,推开,推卸
forputri,烂掉
forregali,打发
forrevi,虚度
forsendi,遣送
forshoveli,铲除
forshtelighi,溜走
forspongi,忘却
forsto,林
forstokurturo,造林
forstreki,删掉
forta,坚强,强大,强健,强烈,强硬,有力
forta febro,高烧
forte lacighi,精疲力竭
forteco,强度
fortempighi,失效
fortigi,巩固,加强
fortika,坚固,结实,牢固,强健
fortikajho,堡垒,据点,炮台,要塞
fortikigi,巩固,增强
fortiligi alfortikigi,加固
forto,力量,实力,势力,威力,武力
fortreso,要塞
fortuno,吉庆,幸福,幸运
forvendi,卖掉
forvishi,抹去
fosajho,沟,水沟
fosfora sterko,磷肥
fosforo,磷
fosi,采掘,掘,挖
fosilio,化石
fosmashino,挖掘机
foso,穴
fosto,桩
foti,拍摄,摄影,照相
fotilo,摄影机,相机,照相机
fotisto,摄影师
foto,图片,相片,照片
fotoalbumo,相册
fotoaparato,照相机
fotografajho,相片
fotografi,摄影,照相
fotografia papero,印象纸
fotografia plato,底版,底片
fotografia presado,影印
fotografilo,摄影机,照相机
fotografisto,摄影师
fotono,光子
fraeleco,独身
fragila,脆
fragmento,片断,碎片
fragmita mato,苇席
fragmito,芦苇,苇子
frago,草莓
frajo,卵
frakasi,摧毁,打破,打碎,粉碎,击溃
frakcio,分数,派别,派系
frako,燕尾服
frakturo,骨折
framo,边框,架,框子
frandajho,美食,珍馐
frapi,打,打击,殴打,拍打,敲,撞击,揍
frapighi,撞
frapilo,拍子,钟锤
frapinstrumento,打击乐器
frapvorto,醒目词
frata,兄弟般
frateco,博爱,人类爱,手足之情,兄弟之谊,友爱
fratinoj,姐妹,姊妹
frato,弟弟,兄弟
frawdi,拐骗,骗取
frawdo,骗局
frawleco,未婚
frawlineco,独身
frawlino,未婚女子
frawlo,未婚男子,小伙子
frazeologio,句法
frazo,句子,语句
frazo kun duobla signifo,双关语
frekvenca modulo,调频
frekvenco,频率
fremda,陌生,生疏,外国,外来
fremda lando,异国,异乡
fremda lingvo,外国语,外文,外语
fremda valuto,外汇
fremdaloko,异乡
fremdighi,疏远
fremdlanda,外国
fremdlanda gasto,外宾
fremdlandulo,洋人
fremdulo,陌生人
freneza,猖狂,疯狂
frenezighi,发狂
frenezulejo,精神病院
frenezulo,疯子,狂人
fresha,清新,鲜,新,新鲜
fresha floro,鲜花
fresheco,爽快
fresko,壁画
frezmashino,铣床
fridigilo,冷冻机
frido,冷
fridujo,电冰箱
friponi,拐骗,搜刮,作弊
fripono,流氓,骗子,无赖
friti,煎,油煎,油炸
frivola,轻薄,轻浮,轻狂
frizi,烫发
frizisto,理发师
frizitaj haroj,卷发
frodujo,冰箱
fromagho,干酪,奶酪,乳酪
fronta pordo,正门
fronte al,面向
fronti,面临
fronto,前方,前线,战线,正面
frosta ondo,寒潮,寒流
frosta vento,寒风
frostawto,冷藏车
frostighi,冻冰
frostigo de salajroj,冻结工资
frosto,寒冷,冷,霜冻,严寒
frostoshvelo,冻疮
frostovagono,冷藏车
frostpunkto,冰点
frotgumo,橡皮
froti,擦,摩擦,揉
fru-perioda,早期
frua printempo,早春
fruaj jaroj,早年
fruktarbo,果树
frukti,结实
frukto,成果,果,果实,结果,水果,效果
fruktodona,多产
fruktoghardeno,果园
frunto,额,前额
frutempa,早期
fsjro,火
ftizo,肺结核
fughi,逃避,逃走
fughinto,逃犯
fulgo,煤烟,油烟
fulmo,闪电
fulmobati,电击
fulmoforigilo,避雷针
fulmofrapi,电击
fulmoshirmilo,避雷针
fulmotondro,雷电,雷雨
fumajhi,熏
fumajho,烟尘
fumbombo,烟幕弹
fumellasilo,烟囱
fumi,抽烟,冒烟,吸烟
fumtubo,烟囱
fundamenta,根本,基本
fundamenti,奠基
fundamento,底子,地基,根基,基础
fundamento (de konstruajho),房基
fundo,底,深处
funebra ceremonio,丧仪
funebra kanto,哀歌,挽歌
funebra muziko,哀乐
funebra parolo,悼词
funebra vesto,丧服,孝服
funebri,追悼
funebro,哀悼,丧
funelo,漏斗
fungo,蘑菇
funkcii,进行,运转
funkciigi,举办,开办,兴办
funkcio,功能,功用,函数,机能,性能,职能,职务,作用
funkciulo,干部,职员
funrebra kunveno,追悼会
furagho,草料,饲料
furago,饲草
furioza,暴怒,猖狂,狂暴,狂怒,猛烈
furioza vento,狂风
furiozi,震怒
fusha,拙劣
fusha laborajho,次品
fushajho,坏事
fushi,搞糟,糟踏
fusilo,步枪,枪
fusto,柱身
futbalo,足球
futo,英尺
futuro,将来
fuzajho,燃料
fuzaviadilo,喷气飞机
fuzi,燃烧
fuzio,聚变
gaja,高兴,欢乐,快活,快乐,愉快
gajiga,令人快乐
gajni,博得,得到,获得,取得,赢得
gajni premion,得奖
gajni venkon,得胜,取胜
gajno,成果,赢利
gala veziko,胆囊
galaksio,星系
galanterio,化妆品
galantino,肉冻
galerio,地道,画廊,坑道,隧道,走廊
galimatiil,说胡话
galjono,加仑
galo,胆汁,苦胆
galopi,奔驰,奔跑,奔腾,驰,飞驰
galosho,胶鞋,套鞋,雨鞋
galshtono,胆结石
galvanizi,电镀
