abelujo,蜂房
plorsingulti,抽泣,抽噎,哽咽,哭泣,呜咽
plotono,排
plugilo,犁
pluvombrelo,雨伞
poemaro,诗集
poento,分数
pojno,手腕
poligono,多边形,多角形
polmo,手掌
poluso,极
pompa,华丽,辉煌,壮丽
poplo,白杨,杨树
popolano,国民,老百姓,人民
popolkanto,歌谣,民歌,山歌
portempa,临时,暂时
postvivi,幸存
potenci,统治,支配
pova,有能力
praa,远古
pramo,渡船
pranepo,重孙
predikativo,表语
predo,猎获物
prelegi,讲授,演讲
premii,赏赐
premiso,前提
presi,印刷
preteratenti,忽略
pretere,宁愿
prezidi,主持
pridiskuti,讨论
prikalkuli,考虑,预计
prikanti,歌颂,赞美
primara,切等
priservi,照料
prisilenti,隐忍
prismo,棱镜,三棱镜
procedi,进行
procezo,过程
profani,亵渎
profundeco,深度
profundigi,加深,深入
programero,节目
projekti,草拟,起草,设计
proklamo,布告,公告
proksimuma,大略,近似
promocii,晋级,提拔,提升
promontoro,岬角
prononco,读音,语音
propagandi,传播,推广,宣传,宣扬
proporcio,比例,比重
propramane,亲手
propraokule,亲眼
proprieto,财产权
prospera,繁华,蓬勃,兴旺
prosperigi,振兴
prostituitino,妓女
proteino,蛋白质
protokolo,纪要,议定书
provianto,给养,粮秣
provizora,临时,暂时
prujno,霜
pruno,李子
pruo,船头
psalmo,颂诗,赞美歌
psikanalizo,精神分析
publikulino,妓女
pudri,搽粉
pudro,化妆粉,香粉
pulio,滑轮
pulo,跳蚤,蚤
pulso,脉搏
pumpilo,泵,唧筒
punlaboro,苦役,强迫劳动
pupitro,书桌
purpuro,紫色
putino,妓女
rabia,狂暴
rabobesto,猛兽
rabobirdo,凶禽
radikala,根本,过激,激进,急进
radiki,生根
radiostacio,电台,广播电台
rajtigi,授权
raketo,火箭,焰火
rakontisto,说书人
raportisto,记者,通讯员
rara,希罕,希奇,稀罕,珍奇的
rare,稀少
ravino,峡谷
razilo,剃刀
reakcio,反冲,反动,反应
realismo,现实主义
reaperanto,亡魂,幽灵
recenzo,书评
recepto,食谱,药方
reciproki,互换
reciti,背诵,朗诵
redakcio,编辑部
redaktejo,编辑部
redakti,编辑
redukti,裁减,减少,降低,紧缩,缩减,缩小,削减,压缩
refaldi,卷起
reformi,变革,改革,改良,改造,革新
regimentestro,团长
registara,官方
reguligi,调整
rekapti,收复
reklamo,广告
rekruto,新兵
relativa,相对
remizo,车库,存车处
rendevuo,会面,约会
reno,肾,肾脏
renomo,名气,名声,声望,声誉,盛名
reordigi,调整
repacigi,言和
replenigi,补充
reprodukti,再生产
resono,回声
resume,总之
resumo,纪要,摘要
retoriko,修辞学
retroiri,后退
retrorigardi,回顾
revizii,检查,校对,校正,修改,修正
rezerva,后备
rezignacio,听天由命
rezino,树脂,松香,松脂
rigli,闩
riglilo,插销
rigora,严格,严紧,严酷,严厉
rimi,压韵,押韵
rimo,韵,韵脚
rinocero,犀牛
ripo,肋骨,叶脉
risorto,发条,弹簧
rito,仪式
rivalo,对手,竞争者
riveli,显影
riverbordo,河岸
rizo,大米,稻子,米（稻米）,水稻
rosmaro,海象
rotacii,打转,旋转
roto,连
rubejo,垃圾场,垃圾堆
rubeno,红宝石
rubriko,栏目,专栏
rudristo,舵手
rukti,打隔,嗝
rulkurteno,卷帘
rusto,铁锈,锈,锈病
rutino,陈规,老一套
sablero,沙粒
sagaco,机智
sakri,咒骂
salivo,口水,唾液
salmo,鲑鱼
salvo,礼炮,排炮
samklasano,同班同学
samovaro,茶炊
samspeca,同类
sankcii,批准
sankcio,奖惩
sarkasmo,讥讽
sarki,除草,锄草
savanto,救星
savboato,救生艇
sciuro,松鼠
scivolema,好奇
segejo,锯木厂
segi,锯
segilo,踞子
sekalo,裸麦
seksumi,性交
selekti,挑选,选拔
senatano,参议员
senatente,粗心
senato,参议院
senbaza,无根基,虚妄
senbrida,放肆
senbride,肆无忌弹,恣意
senbrua,静默
senceremonie,不拘仪式
sendanka,忘恩
sendependeco,独立
senekzempla,史无前例
senenhava,空洞
senfeligi,剥皮
senfina,冗长,无边,无穷,无限
sengusta,于巴巴,无味
senhara,光秃,秃
senhava,赤贫
senhejma,无家可归
senhonorigi,玷辱,侮辱
senindulga,无情
seninteresa,无趣味
seninterrompa,不断,连续
senkapigi,杀头,斩首
senkompara,无比,无可比拟,无与伦比
senkonscio,无意识
senkonsila,无办法
senkora,残忍,没心肝,无情
senlaboreco,失业
senlace,不倦,不懈
senmakula,无疵,无理
senmanka,完美无缺
senmaskigi,揭露
sennoma,无名
senpacienca,急切
senpaga,免费,无偿
senpera,直接的
sensacio,轰动
senscia,无知
sentima,无所畏惧,勇敢的
sentimentala,伤感
sentimento,感情,情调
sereneco,爽快
seruristo,锁匠
servuto,劳役,徭役
servutulo,农奴
sigelilo,图章
sigelo,图章,印章
signifoplena,有意思
silueto,侧影,剪影,轮廓,身影
simetrio,对称,匀称
simfonio,交响乐
sindikato,辛迪加
sindonemo,忘我
singardeco,小心
singardema,谨慎,警觉
sinonimo,同义询
sinsekvo,一连串,一系列
sintakso,句法
sintezi,合成
sintezo,综合
sireno,警报器,美人鱼,汽笛
situo,位置
skalo,比例尺,规模,刻度,音阶
skarlato,猩红
skarpo,披肩
skemo,图解
skeptika,多疑
skizo,草稿,草图,梗概,素描,速写
skorio,废渣,炉渣
skorpio,蝎子
skrapi,刮,刮削
skribilo,笔
skrupulo,顾忌,顾虑
skulpti,雕刻,雕塑,刻
skulptisto,雕刻家
skuo,轰动
skvamo,磷
slango,行话
slipo,卡片,纸条
slogano,标语,口号
solidareco,团结
somermezo,盛夏
sondi,试探
sonora,清脆,响亮
spado,剑
spasmo,痉挛
specialisto,专家
specimeno,标本,样本,样品
specio,品种
spertulo,行家
spico,调料,调味品
spino,脊柱
spliti,分化,分裂,劈
splito,木片
spongo,海绵
sportisto,运动员
sprito,机智
sprono,马刺
stabila,平稳,稳定
staciestro,站长
stadio,阶段,时期,行程
stampi,盖章
stampilo,图章
stampo,图章,印章
starpunkto,立场
statistiko,统计
stelaro,星座
sterko,肥料
stiri,驾驶
stoko,存货
strabi,对眼,斜视
strando,海滩,沙滩
strangoli,扼杀,绞死,掐脖子,窒息
strategio,计策,战略
striko,罢工
strikta,紧密,密切,严紧
strofo,诗段
stumpo,残肢,存根
sturmi,冲锋
subakvigi,水淹
subjektiva,主观的
subjupo,衬裙
subkompreni,省略,意会
subridi,暗笑
substreki,着重
subtaksi,低估
subtaso,茶托
subtenanto,后台
sukceno,琥珀
sulfuro,硫磺
sulketo,皱纹
sultano,苏丹
sume,共计
sunombrelo,旱伞,凉伞,阳伞
superakvi,泛滥,淹没
superflua,多余,剩余
superhoma,超人
supertera,悬空
supla,柔软
surdulo,聋子
surprizataki,奇袭,突袭,袭击
suspektema,多疑
suspektinda,可疑
suverena,自主
suvereneco,主权
svatisto,媒人
sveno,昏厥
svingilo,钟摆
tablotuko,桌布
tagnokto,昼夜
tajdo,潮,潮流,潮汐,海潮
taksio,出租汽车
takso,评价
taktiko,策略,手段,战术
tamburisto,鼓手
tamtamo,锣
tani,鞣
tanko,坦克
teamo,班,球队
tegolo,瓦片
teknikisto,技术员
teko,公文包
teksilo,织机
telegrafo,发报机
teleskopo,望远镜
temperamento,脾气,气质,性格,性情,性子
temperaturo,气温,体温,温度
tenaca,黏
tendumi,安营扎寨,露营
tenejo,仓库,储藏所,库房,贮藏宝
teologio,神学
terkulturisto,农夫,农民
termometro,寒暑表,温度表
terno,喷嚏
teroro,暴政,恐怖
tersurfaco,地表,地面
testudo,龟,王八,乌龟
tezo,论点,论断,学说
tifo,伤寒
tiktaki,滴答
timulo,懦夫
tintilo,铃挡
tirana,专横
tiranismo,暴政
toasto,烤面包
tomato,番茄,西红柿
torente,滔滔地
torenti,奔流,流,汹涌
tornistro,背包,书包
torturi,拷问,折磨
tosti,干杯
tosto,敬酒,碰杯,祝酒
trablovo,穿堂风,过堂风
tradukinto,译者
trafa,中肯
tragedia,悲惨
tragika,悲惨
trairejo,通路
trako,轨道
transigi,调动
transmeti,移置
transplanti,移栽,移植,栽植
transsendi,转播
transskribi,抄写,誊写
transversa,横
trarompi,冲破,突破
travidi,洞察,看穿,识破
travintri,过冬
trejni,操练,培训,训练
trembrili,闪烁,闪耀
triangulo,三角形
tributo,贡品
triki,编织
tripiedo,三角鼎,三角架
tripkolbaso,腊肠
tristo,悲伤
triumfi,战胜
triviala,粗俗,庸俗
trogo,槽,灰槽
troigo,夸张
trolo,拖网,鱼网
trompisto,骗子
trumpetisto,吹鼓手
tualetejo,盥洗室
tualeto,梳妆品
tubero,疙瘩,瘤子
tufo,一丛,一簇
turdo,画眉
turi,扭转
turisto,游客
tutanime,全心全意
ulcero,溃疡
ulmo,榆树
ultimato,最后通牒
ululi,狼叫
ungego,爪
unuaklasa,头等
unuaranga,头等
unuo,单位
unutona,单调
urini,小便,小解
utero,子宫
uzanto,用户
uzurpi,篡夺
vaganto,流浪者
vaglumo,鬼火,磷火
vagulo,游民
vaka,空白
vakso,蜡
valida,有效
valorega,无价之宝
valso,华尔兹舞,圆舞曲
vampiro,吸血鬼
vangofrapo,耳光
vangosto,颧骨
varbi,吸收,招募,征募
varti,抚养,看护,养育
vato,棉花,棉絮
vei,哀叹
vendotablo,柜台
ventumi,簸扬,扇,扬场
Venuso,启明星
vepro,荆棘丛
verdikti,判决
vergi,鞭打
verkinto,著者,作者
vertikala,垂直,竖,直立的
vesperto,蝙蝠
vespo,黄蜂,马蜂
veterano,老兵,老手,宿将,元老
veterinaro,兽医
veziko,气泡,水泡
vibrigi,振荡,振动,震动
vicigi,排队,排列
vidkapablo,视力
vidvo,鳏夫
vinagro,醋
vindi,包扎
vindo,襁褓
vipuro,腹蛇,蝰蛇
virga,纯洁,清白,童贞,未开垦,贞节的
vitamino,维生素,维他命
vivoplena,生气勃勃
vizitkarto,名片
vojerari,迷路
voluptemo,荒淫
vomi,呕吐
vortfarado,构词法
vortordo,词序
vulturo,秃鹤,鹰,坐山雕
zebro,斑马
zenito,天顶
zibelo,黑貂
