abandoned,[ә'bændәnd],adj.被抛弃的，自甘堕落的，没有约束的，放荡的
drab,[dræb],adj.土褐色的，单调的
dragoon,[drә'gu:n],n.骑兵，凶暴粗野的男人,vt.以武力迫害，弹压，强制
dramatist,['dræmәtist],n.剧作家
drastic,['dræstik],adj.激烈的，(药性等)猛烈的
drawback,['dro:˛bæk],n.缺点，障碍，退还的关税，退税(指进口货物再出口时退还其进口时的关税)
drawl,[dro:l],v.懒洋洋地说，做作而慢慢地说,n.懒洋洋的说话态度
dreamer,['dri:mә(r)],n.做梦的人，梦想家
dreamy,['dri:mi],adj.空幻的，梦想的，多梦的
drily,['draili],adv.(=dryly) 冷淡地，干巴巴的
drudgery,['drΛdӡәri],n.苦差事，苦工
druggist,['drΛgist],n.药商，药剂师，药材商
drunkard,['drΛŋkәd],n.醉汉，酒鬼
dub,[dΛb],vt.[电影]配音，轻点，授予称号，打击,n.鼓声，笨蛋
dubious,['dju:bjәs],adj.可疑的，不确定的
Dublin,['dΛblin],n.都柏林，爱尔兰共和国的首都
duchy,['dΛt∫i],n.公爵领地，直辖领地，公国
dully,[],adv.钝地，不清楚地，迟钝地
dunce,[dΛns],n.劣学生，傻瓜
duration,[djuә'rei∫әn],n.持续时间，为期
durst,[dә:st],vbl.dare的过去分词
Dutchman,['dΛt∫mәn],n.荷兰人
dynamite,['dainәmait],n.炸药，<俚> 能产生不凡效果的人或物,vt.炸毁，使失败
earnings,['ә:niŋz],n.所得，收入
earthen,['ә:θәn],adj.土制的，陶制的
ebony,['ebәni],n.黑檀树，乌木，乌梅,adj.乌木制的，黑檀的
eccentric,[ik'sentrik],adj.古怪,n.行为古怪的人
ecclesiastical,[i˛kli:zi'æstikl],adj.教会的，牧师的，神职的
edible,['edibl],adj.可食用的
edict,['i:dikt],n.布告，法令
edify,['edifai],v.启发
Edison,['edisn],n.爱迪生(美国发明家)
effectively,[i'fektivli],adv.有效地，有力地
effectually,[i`fekt∫uәli],adj.有效地，有法律效力地，全然
effeminate,[i'feminit],adj.柔弱的，女人气的，娇气的
efficiently,[i'fi∫әntli],adv.有效率地，有效地
Einstein,[],n.爱因斯坦(Albert 1879--1955，美籍德国犹太人，理论物理学家，创立相对论)
elegance,['eligәns],n.高雅，典雅，优雅，雅致
elimination,[i˛limi'nei∫әn],n.排除，除去，消除，消灭
elude,[i'lju:d; i'lu:d],v.躲避
emancipation,[i˛mænsi'pei∫әn],n.释放，解放
ember,['embә],n.灰烬，余烬
emblem,['emblәm],n.象征，徽章，符号，<古>寓意画,vt.用象征表示
embryo,['embriәu],n.胚胎，胎儿，胚芽,adj.胚胎的，初期的
emigrate,['emigreit],vi.永久(使)移居,vt.(使)移民
eminence,['eminәns],n.出众，显赫，崇高
emit,[i'mit],vt.发出，放射，吐露，散发，发表，发行
emphatic,[im'fætik],adj.语势强的，用力的，显著的，断然的
emphatically,[im`fætikәli],adv.强调地，用力地
empower,[im'pauә],v.授权与，使能够
enactment,[i'næktm(ә)nt],n.设定，制定
encamp,[in'kæmp],v.扎营
enclosure,[in'klәuӡә],n.围住，围栏，四周有篱笆或围墙的场地
encyclopedia,[en˛saiklәu'pi:diә],n.百科全书
endanger,[in'deindӡә],vt.危及
endear,[in'diә],vt.使亲密，使受钟爱
endorse,[in'do:s],v.在(票据)背面签名，签注(文件)，认可，签署
endowment,[in'daumәnt],n.捐赠，捐赠的基金(或财产)，天资，捐款
enduring,[in'djuәriŋ],adj.持久的，不朽的
engraving,[in'greiviŋ],n.雕刻术，雕版，雕版图
engross,[in'grәus],vt.用大字体书写，吸引，占用，使全神贯注，独占
enhance,[in'hα:ns],vt.提高，增强,v.提高
enjoin,[in'dӡoin],vt.吩咐，命令，嘱咐，<主美>禁止
enliven,[in'laivәn],vt.使生气的，使活泼，使生动
enmity,['enmiti],n.敌意，憎恨
ennoble,[i'nәubl],vt.封...为贵族，使高贵
enroll,[in'rәul],v.[亦作enrol] 登记，招收，使入伍(或入会、入学等)，参加，成为成员
ensemble,[ә:n'sα:mbl],n.<法>全体，[音]合唱曲，全体演出者
ensign,['ensain; 'ensn],n.旗，军舰旗，军旗，徽章，<美>海军少尉
entail,[in'teil],vt.使必需，使蒙受，使承担，遗传给,n.[建]限定继承权
enterprising,['entәpraiziŋ],adj.有事业心的，有进取心的，有魄力的，有胆量的，富有进取心
enthusiast,[in'θju:ziæst],n.热心家，狂热者
enthusiastically,[],adv.热心地，狂热地
entreaty,[in'tri:ti],n.恳求，乞求
entrepreneur,[˛ontrәprә'nә:],n.<法>企业家，主办人
enumerate,[i'nju:mәreit],v.列举
envoy,['envoi],n.外交使节，特使
epic,['epik],n.史诗，伟大事迹,adj.英雄的，壮丽的，大规模的
episcopal,[i'piskәpәl],adj.主教的，主教制度的，英国国教的
epitaph,['epitα:f],n.墓志铭，碑文
epoch,['i:pok; 'epok],n.新纪元，时代，时期，时间上的一点，[地质]世
equation,[i'kwei∫әn],n.相等，平衡，综合体，因素，方程式，等式
equatorial,[˛ekwә'to:riәl; i:k-],adj.近赤道的，赤道的,n .赤道仪
equilibrium,[˛i:kwi'libriәm],n.平衡，平静，均衡，保持平衡的能力，沉着，安静
equity,['ekwiti],n.公平，公正，公平的事物，资产净值，[律]平衡法
erection,[i'rek∫әn],n.直立，竖起，建筑物，[生理]勃起
erroneous,[i'rәunjәs],adj.错误的，不正确的
eruption,[i'rΛp∫әn],n.爆发，火山灰，[医]出疹
Eskimo,['eskimәu],n.爱斯基摩人,adj.爱斯基摩人的
especial,[is'pe∫әl],adj.特别的，特殊的
espouse,[is'pauz],vt.嫁娶，支持，赞成
espy,[is'pai],v.看到
estimation,[esti'mei∫әn],n.估计，预算，评价，判断，尊重
eternally,[i`tә:nәli],adv.永恒地，常常
ether,['i:θә],n.天空醚，大气，苍天，[物]以太
ethereal,[i'θiәriәl],adj.轻的，天上的，象空气的
ethics,['eθiks],n.偶尔，道德规范
etiquette,[eti'ket; 'etiket],n.礼节
eunuch,['ju:nәk],n.太监，宦官
evade,[i'veid],v.规避，逃避，躲避
evaporation,[i˛væpә'rei∫әn],n.蒸发(作用)
evolve,[i'volv],v.(使)发展，(使)进展，(使)进化
exacting,[ig'zæktiŋ],adj.苛求的，严格的，吃力的，需付出极大耐心
exaggeration,[ig˛zædӡә'rei∫әn],n.夸张，夸大之词
examiner,[ig'zæminә],n.主考者
exasperate,[ig'zα:spәreit],v.激怒
excavation,[˛ekskә'vei∫әn],n.挖掘，发掘，挖掘成的洞，出土文物
excellency,['eksәlәnsi],n.阁下，优点
exchequer,[iks't∫ekә],n.[英史]财物署，国库，财源，财政部
exclusion,[iks'klu:ӡәn],n.排除，除外，被排除在外的事物
excommunicate,[˛ekskә'mju:nikeit],vt.逐出教会,adj.被逐出教会的,n.被逐出教会的人
executor,[ig'zekjutә],n.被指定遗嘱执行者，执行者
exhale,[eks'heil; eg'zeil],v.呼气，发出，发散，<古>使蒸发
exhortation,[˛egzo:'tei∫әn; ˛ekso:-],n.劝告，讲道词，训词
expanse,[iks'pæns],n.宽阔的区域，宽阔，苍天，膨胀扩张
expectant,[iks'pektәnt],adj.预期的，期待的，[律](有继承权而)期待占有的,n.预期者，期待者
expressive,[iks'presiv],adj.表现的，表达...的，有表现力的，富于表情的
expressly,[iks'presli],adv.明白地，特别地，清楚地
expulsion,[iks'pΛl∫әn],n.逐出，开除
exquisitely,[],adv.精巧地，敏锐地
extended,[iks'tendid],adj.伸出的，延长的，广大的，扩大范围的，长期的
extensively,[],adv.广阔地
extoll,[iks'tol],vt.<美>=extol
extraordinarily,[ik'stro:dθnәrili],adv.格外地
exult,[ig'zΛlt],vi.非常高兴，欢跃
exultation,[˛egzΛl'tei∫әn],n.狂喜，大悦，欢欣，得意
fabulous,['fæbjulәs],adj.寓言中的，寓言般的，神话般的，传统上的，惊人的，难以置信的
facial,['fei∫әl],adj.面部的
fag,[fæg],n.吃力的工作，疲劳，苦工,vi.努力地工作,vt.使劳累
fairness,['fєәnis],n.公平，正直，美好，明亮，清晰，适当，顺利性
faithless,['feiθlis],adj.背信弃义的，不忠的，不老实的，无信的，不忠实的
fake,[feik],n.假货，欺骗,adj.假的,vt.伪造，赝造，捏造，假造，仿造,vi.伪装
familiarity,[fә˛mili'æriti],n.熟悉，通晓，亲密，熟悉，精通
famish,['fæmi∫],vt.(常用被动语态)使挨饿，<古>使饿死,vi.饥饿，挨饿
fanatic,[fә'nætik],n.狂热者，盲信者，入迷者,adj.狂热的，盲信的
fang,[fæŋ],n.(犬，狼等的)尖牙，犬牙，(毒蛇的)毒牙，牙根，尖端,vt.灌水引动(水泵)
fantasy,['fæntәsi; 'fæntәzi],n.幻想，白日梦
far-reaching,[],adj.深远的，伸至远处的，广大的
farce,[fα:s],n.笑剧，闹剧，滑稽剧，胡闹,vt.<古>填塞，为(演讲，作品等)加穿插
farmyard,['fα:mjα:d],n.农场建筑物周围的空地，农家庭院
farthing,['fα:ðiŋ],n.<英>14旧便士，英国最小的钱币，极少量，一点儿
fatten,['fætәn],vi.长肥，(靠...)发财，养肥,vt.养肥，使肥沃，使充实，使肥胖
faultless,['fo:ltlis],adj.无错误的，无缺点的，完美的，无缺点的，无可指责的
faulty,['fo:lti],adj.有过失的，有缺点的，不完美的，不完善的
feasible,['fi:zәbl],adj.可行的，切实可行的
feeder,['fi:dә],n.饲养员，奶瓶，进料器，馈电线，支流
felicity,[fi'lisiti],n.幸福，幸运，福气，(措辞等)恰当，巧妙，幸福，幸运
ferment,['fә:mәnt],n.酵素，发酵，动乱,v.(使)发酵，(使)激动，(使)动乱
fermentation,[˛fә:men'tei∫әn],n.发酵
ferocious,[fә'rәu∫әs],adj.凶恶的，残忍的，凶猛的，<口>十分强烈的，极度的
ferocity,[fә'rositi],n.凶猛，残忍，暴行
fertility,[fә:'tiliti],n.肥沃，丰产，多产，人口生产，生产力
fervent,['fә:vәnt],adj.炽热的
fervently,[],adv.热心地，热诚地
festive,['festiv],adj.庆祝的，喜庆的，欢乐的，节日似
festivity,[fes'tiviti],n.欢宴，欢庆
fickle,['fikl],adj.(在感情等方面)变幻无常的，浮躁的，薄情的
fierceness,[],n.强烈
fife,[faif],n.横笛，吹横笛,v.吹横笛
filial,['filjәl],adj.子女的，孝顺的，当做子女的
filth,[filθ],n.污秽，污物，不洁，猥亵
fin,[fin],n.鳍，鱼翅，鳍状物，五元纸币,vi.猛挥鳍，露鳍于水面的,vt.装上翅，切除鳍
financially,[],adv.财政上，金融上
financier,[fai'nænsiә; fi-],n.财政家，金融家,vi.欺骗性地从事金融活动，欺骗，骗取
fineness,['fainnis],n.出色，优良
firefly,['faiәflai],n.萤火虫
fireside,['faiәsaid],n.炉边，家庭,adj.炉边的，亲切的，无拘无束的
firewood,[],n.木柴，柴火
fireworks,[],n.烟火，激烈争论
first-class,[],adj.最好的，第一流的，头等舱，优秀的,adv.最好地，第一流地，优秀地
firstborn,['fә:stbo:n],adj.头生的(子女)，初生的，第一胎生的,n.初生儿，长男，长女
fiscal,['fiskәl],adj.财政的，国库的，会计的，国库岁入的,n.(苏格兰和欧洲某些国家的)检查官，印花税票
fishery,['fi∫әri],n.渔业，水产业，渔场，养鱼术
fissure,['fi∫ә],n.裂缝，裂沟，(思想，观点等的)分歧,v.(使)裂开，(使)分裂
fitness,['fitnis],n.适当，适切性
fitting,['fitiŋ],adj.适合的，相称的，适宜的,n.试穿，试衣，装配，装置
flask,[flα:sk],n.瓶，长颈瓶，细颈瓶，烧瓶，小水瓶
flatly,['flætli],adv.平平地，水平地，无力气地
flaw,[flo:],n.缺点，裂纹，瑕疵，一阵狂风,vt.使破裂，使有缺陷，使无效,vi.生裂缝，变的有缺陷
flea,[fli:],n.跳蚤，低廉的旅馆，生蚤的动物
fleecy,['fli:si],adj.以羊毛盖上的，蓬松的，羊毛似的
fleeting,[],adj.飞逝的；短暂的
flick,[flik],n.(用鞭)快速的轻打，轻打声，弹开,v.轻弹，轻轻拂去，忽然摇动，(翅)拍动，(旗)飘扬
flop,[flop],n.砰然落下，拍击声，失败,vi.扑拍，跳动，脚步沉重地走，笨重地摔，猛落,vt.笨拙地抛下,adv.噗地一声，恰巧
florin,['florin],n.弗罗林，一种货币
floss,[flos],n.丝棉，乱丝，绣花丝线，[植]绒毛
flounder,['flaundә],vi.(在水中)挣扎，困难地往前走，踌躇，发慌,n.挣扎，辗转，比目鱼
fluctuation,[˛flΛktju'ei∫әn],n.波动，起伏
fluffy,[`flΛfi],adj.绒毛似的，披着绒毛的，蓬松的，愚蠢的
flyer,['flaiә],n.飞鸟，飞行物，飞行员，飞跳，(广告)传单，<美俚>孤注一掷
fodder,['fodә],n.饲料，草料，(创作的)素材，弹药,vt.喂
foggy,['fogi],adj.雾深的，模糊的，朦胧的，(玻璃窗等)不明净的
fondness,[`fondnis],n.爱好，溺爱
foolishly,[],adv.愚笨地，无聊地
foothold,['futhәuld],n.立足处
footing,['futiŋ],n.立足处，(社会)地位，关系
footman,['futmәn],n.男仆，步兵
footprint,['futprint],n.足迹，脚印
forage,['foridӡ],n.草料
forbearance,[fo:'bєәrәns],n.自制，忍耐，[律]债务偿还期的延展
forcibly,['fo:sәbәli],adv.强制地，用力，硬
forecast,['fo:kα:st],n.先见，预见，预测，预报,vt.预想，预测，预报，预兆
forefinger,['fo:˛fiŋgә],n.食指
foregoing,[fo:'gәuiŋ],adj.在前的，前述的
foreseen,[],vbl.foresee的过去分词
forester,['foristә],n.林务官，森林人
foretold,[fo:'tәuld],vbl.foretell的过去式及过去分词
formulate,['fo:mjuleit],vt.用公式表示，明确地表达，作简洁陈述,v.阐明
forsaken,[fә`seikәn],adj.被弃的，孤独的，被抛弃的
forsook,[fә'suk],vbl.forsake的过去式
forthcoming,[fo:θ'kΛmiŋ],adj.即将来临的,n.来临
fortitude,['fo:titju:d],n.坚韧
forum,['fo:rәm],n.古罗马城镇的广场(或市场)，论坛，法庭，讨论会
fount,[faunt],n.泉，墨水缸，(灯的)储油器
fourscore,[`fo:`sko:(r)],adj.八十的，八十个的,n.八十，八十个，八十岁
frailty,['freilti],n.虚弱，脆弱，意志薄弱，过失，品德上的弱点
framework,['freimwә:k],n.构架，框架，结构
franchise,['frænt∫aiz],n.特权，公民权,v.赋予特权，赋予公民权
frankness,[],n.率直，坦白
frantically,[],adv.狂暴地，疯狂似地
fraternal,[frә'tә:nl],adj.兄弟的，兄弟般的，友爱的
Frau,[frau],n.<德>夫人，已婚的女性
fraught,[fro:t],adj.充满...的
freak,[fri:k],n.怪诞的思想、行动或事件，畸形人，畸形的动物或植物，反复无常,adj.奇异的，反常的
frequency,['fri:kwәnsi],n.频率，周率，发生次数
freshman,[],n.新生，大学一年级学生
fretful,['fretful],adj.烦燥的，起波纹的，焦躁的
friendliness,[],n.友谊，友善，亲切，亲密
frieze,[fri:z],n.[建]中楣，起绒粗呢vt.使起绒毛
frigate,['frigit],n.三帆快速战舰，护卫舰
frightfully,[],adv.可怕地，非常地
frill,[fril],n.装饰,v.装饰
frisk,[frisk],n.快乐，快乐的时刻，搜身,vi.欢跃，蹦跳,vt.轻摇
Fritz,[frits],n.德国人
frivolous,['frivәlәs],adj.轻佻的，琐碎的，妄动的
froth,[froθ; fro:θ],n.泡，泡沫，废物,vt.使生泡沫,vi.发泡
froze,[frәuz],vbl.freeze 的过去式
frugal,['fru:gәl],adj.节俭的，朴素的
frustration,[frΛs'trei∫әn],n.挫败，挫折，受挫
fungus,['fΛŋgәs],n.菌类，蘑菇
funnel,['fΛnәl],n.漏斗，烟窗
gabardine,['gæbәdi:n],n.一种斜纹防水布料，一种宽松的长袍，华达呢
gable,['geibl],n.尖顶屋两端的山形墙
gad,[gæd],vi.闲逛，游荡，找乐子,vt.用铁棒刺,n.游荡，錾，(赶牲畜用的)尖头棒,int.表示轻微的咒骂或惊讶，God 的变形
gaiety,['geiәti],n.欢乐的精神，欢乐的气氛,作乐，乐事
gambler,['gæmblә(r)],n.赌博的人，赌徒
garbage,['gα:bidӡ],n.垃圾，废物
garlic,['gα:lik],n.[植]大蒜，(Akkuyn sadtium)，蒜头
garner,['gα:nә],v.储存
garter,['gα:tә],n.吊袜带,v.吊袜带吊住
gaseous,['gæsiәs; 'geizjәs],adj.气体的，气态的
gaudy,['go:di],adj.华而不实的
gauge,[gedӡ],n.标准尺，规格，量规，量表,v.测量
gauze,[go:z],n.薄纱，[医]纱布，薄雾
gayly,[`geili],adv.快乐地，华美地
gee,[dӡi:],n.字母G,int.(驾驭马牛等的吆喝声)向右!，前进!快！，惊讶时所发声音,v.(使)向右转,n.<美俚>一千美元
Genoa,['dӡenәuә],n.热那亚(意大利西北部的州及其首府)
genteel,[dӡen'ti:l],adj.上流社会的
gentlewoman,['dӡentlwumәn],n.贵妇人
gentry,['dӡentri],n.贵族们
genuinely,[],adv.真诚地，诚实地
genus,['dӡi:nәs],n.种，类
geological,[dӡiә'lodӡikәl],adj.地质学的，地质的
geranium,[dӡi'reinjәm˛ dӡә'rei-],n.天竺葵
germinate,['dӡә:mineit],v.发芽，发育，使生长
ghostly,['gәustli],adj.可怕的
giddy,['gidi],adj.眼花缭乱的，头晕的，轻率的,v.(使)眼花，(使)眩晕
gig,[gig],n.旋转物,v.乘轻便双轮马车
giggle,['gigl],v.哈哈地笑,n.傻笑
gilt,[gilt],n.镀金，表面装饰，小母猪,adj.镀金的,vbl.gild的过去式和过去分词
gingham,['giŋәm],n.有条纹或方格纹的棉布，洋伞
gird,[gә:d],v.束缚
giver,['givә],n.送礼者
glade,[gleid],n.林间空地，一片表面有草的沼泽低地
glamor,['glæmә],n.魔法，迷人的美,vt.迷惑
gland,[glænd],n.[解剖]腺，[机械]密封管
glassy,['glα:si],adj.象玻璃的
glean,[gli:n],v.拾落穗，收集
glint,[glint],n.闪烁
gloomily,[],adv.黑暗地，沮丧地
gloriously,[],adv.光荣地，辉煌地
gloss,[glos],n.光泽的表面，光彩，欺人的表面，假象，注释,vt.使有光彩，掩饰，上光于，注释，曲解,vi.发光，作注释
glossy,['glosi],adj.平滑的，有光泽的
gnat,[næt],n.小昆虫，小烦扰
gobble,['gobl],n.火鸡叫声,vt.狼吞虎咽,vi.贪食，咯咯叫声
godlike,['godlaik],adj.似神的，庄严的，与神相称的
godmother,['godmΛðә(r)],n.教母，名义上母亲
gong,[goŋ],n.铜锣，盘形钟,vt.打锣作为停车信号
good-looking,[],漂亮的
good night,[],int.晚安
goody,['gudi],n.身份低微之老妇，媪，糖果,adj.感伤的，<俗>伪善的,int.<俗>好呀！
gosh,[go∫],int.唉!，必定!，糟了!
governess,['gΛvәnis],n.女家庭教师
governmental,[˛gΛvәn'mentl],adj.政府的
graduation,[˛grædju'ei∫әn],n.毕业，毕业典礼，刻度，分等级
grandsire,['grændsaiә(r)],n.祖父，老人，祖先
grange,[greindӡ],n.农庄
graphic,['græfik],adj.绘画似的，图解的
graphite,['græfait],n.石墨
grapple,['græpl],v.格斗
gratification,[˛grætifi'kei∫әn],n.满意
gravitation,[˛grævi'tei∫әn],n.地心吸力，引力作用
greasy,['gri:si; 'gri:zi],adj.多脂的，油脂的，油污的
Great Britain,[],n.英国
Grecian,['gri:∫әn],adj.希腊的，希腊式的,n.希腊学家
greenhouse,['gri:nhaus],n.温室，花房
greenish,[`gri:ni∫],adj.呈绿色的
greenwood,['gri:nwud],n.绿林，未枯干的树
grenadier,[˛grenә'diә],n.手榴弹兵，[军]精锐部队的士兵
greyhound,['greihaund],n.灰狗，快速船
grill,[gril],n.烤架，铁格子，烤肉,v.烧，烤，严加盘问
grit,[grit],n.粗砂,v.研磨，在...上铺砂砾
grotto,['grotәu],n.洞穴，岩穴，人工洞室
grower,['grәuә(r)],n.栽培者，生长物
gruff,[grΛf],adj.(说话、态度等) 粗暴的，生硬的，脾气坏的，(声音)粗哑的
gruffly,[],adv.粗暴地，粗声地
guaranty,['gærәnti],n.[律]保证，保证书，担保物，抵押物,vt.保证，抵押，担保
guile,[gail],n.狡诈，诡计
guiltless,['giltlis],adj.无罪的，无辜的
guinea,['gini],n. 几尼（英国的旧金币，值一镑一先令）
guitar,[gi'tα:],n.吉他，六弦琴,vi.弹吉他
gulch,[gΛl∫],n.<美>干谷峡谷，冲沟(尤指产金地的急流峡谷)
gull,[gΛl],n.[动] 鸥，易受骗之人，笨人,vt.欺诈，骗，使上当
gunner,['gΛnә],n.炮手，炮长，带枪猎人，管理军械(库)的准尉
gunpowder,['gΛnpaudә(r)],n.黑色火药，有烟火药
gurgle,['gә:gl],n.(流水的)汩汩声，欢乐的(咯咯声)，(人发)咯咯声，汩汩地流,vi.(流水)作汩汩声
gust,[gΛst],n.阵风，一阵狂风，(雨、冰雹、烟、火、声音等的)突然一阵，（感情的）迸发，汹涌
gymnasium,[dӡim'neiziәm; gim'nα:ziәm],n.健身房，体育馆
habitual,[hә'bitjuәl],adj.习惯的，惯常的
habitually,[hә'bitjuәli],adv.习惯地
Hague,[heig],n.海牙(荷兰的中央政府所在地，在荷兰西部)
Haiti,['heiti],n.海地
half-hour,[],n.半小时，半点钟,adj.半小时的
hallway,['ho:lwei],n.走廊
halter,['ho:ltә],n.缰绳，（马）笼头
Hamburg,['hæmbә:g],汉堡(德国西北部一城市), 为装饰妇女服装用的
hap,[hæp],n.偶然，机会，运气,vi.偶然发生
hapless,['hæplis],adj.倒霉的，不幸的
harmonize,['hα:mәnaiz],v.协调
harrow,['hærәu],n.耙(地)，使精神痛苦,vt.耙掘，伤害，使苦恼,vi.被耙松
harshly,[],adv.严厉地，苛刻地
haughtily,[],adv.傲慢地，骄傲地
haven,['heivn],n.港口，避难所
havoc,['hævәk],n.大破坏，浩劫,vt.严重破坏
Hawaii,[hα:'waii:],n.夏威夷，夏威夷岛
hawthorn,['ho:θo:n],n.山楂
hazardous,['hæzәdәs],adj.危险的，冒险的，碰运气的
haze,[heiz],n.薄雾，疑惑，阴霾,vt.使变朦胧，使变糊涂，使劳累,vi.变朦胧，变糊涂
hazel,['heizl],n.榛子，淡褐色,adj.榛树的，淡褐色的
headland,['hedlәnd],n.向水中突出的陆地，畦头未耕的一条地，岬
hearer,['hiәrә(r)],n.听者，听众
heather,['heðә],n.石南花,adj.杂色的，似石南的
heaviness,['hevinis],n.沉重，重量
hedgehog,['hedӡhog; (?@) -ho:g],n.猬
heighten,['haitn],v.提高，升高
helplessly,[],adv.无能为力地，无望地
hemp,[hemp],n.大麻，纤维
herdsman,['hә:dzmәn],n.牧者，牧人
hereby,['hiә'bai],adv.因此，据此
heredity,[hi'rediti],n.遗传，形质遗传
herein,['hiәrin],adv.于此，在这里
heresy,['herәsi],n.异端，异教
herewith,[hiә'wið],adv.同此，因此
heroism,['herәuizәm],n.英雄品质，英勇，勇敢的事迹，豪侠的行为，英雄主义
Herr,[hєә],n.<德>先生
hickory,['hikәri],n.山胡桃树，山胡桃木
hight,[hait],adj.被称为，名叫
hilltop,[`hiltop],n.小山顶
hilt,[hilt],n.柄，刀把
Himalayan,[˛himә`leiәn],adj.喜玛拉雅的
hindrance,['hindrәns],n.妨碍，障碍
Hindu,['hindu:],n.印度人，印度教教徒,adj.印度人的，印度教的
hoar,[ho:; hoә],adj.灰白的
hoarsely,[],adv.嘶哑地，刺耳地
hoary,['ho:ri; 'hoәri],adj.灰白的，（因年迈而）头发灰白的，古代的，久远的
hobble,['hobl],v.蹒跚
holding,['hәuldiŋ],n.把握，支持，持有，所有物，财产
holiness,['hәulinis],n.神圣
holly,['holi],n.冬青树
homeless,['hәumlis],adj.无家的，无家可归的
homemade,['hәum'meid],adj.自制的，本国制的
homemaker,[`hәum˛meikә(r)],n.主妇
homesick,['hәumsik],adj.思家的，思乡病的
homespun,['hәumspΛn],n.手织物，朴素的
honeycomb,['hΛnikәum],n.蜂房，蜂巢，蜂脾
honeysuckle,['hΛnisΛk(ә)l],n.[植]忍冬，金银花
honorably,[],adv.值得尊敬地，体面地
hoot,[hu:t; hut],n.猫头鹰的叫声，汽车喇叭声，表不满或轻蔑的叫嚣，嘲骂声，鸣响,vi.大声叫嚣，鸣响，猫头鹰叫,vt.呵斥，轰赶
hopefully,['hәupfuli],adv.有希望地，有前途地
horde,[ho:d],n.游牧部落
horribly,[`horәbli],adv.可怕地，非常地
horsepower,['ho:s˛pauә],n.马力
horseshoe,['ho:∫∫u:; 'ho:s∫u:],n.马蹄铁,vt.装蹄铁于
housekeeping,['hauski:piŋ],n.家务管理
housetop,[],n.屋顶
housework,['hauswә:k],n.家务，劳动，家务事
Hugo,['hju:gәu],雨果(①姓氏，男子名，Hugh 的异体 ②Victor Mavie，1802-1885，法国小说家，剧作家)
huh,[hΛ],int.哼!，哈!
humane,[hju:'mein],adj.仁慈的
humidity,[hju:'miditi],n.湿气，潮湿，湿度<美>沼泽中的肥沃高地
humiliation,[hju:˛mili`ei∫әn],n.羞辱，蒙耻
hump,[hΛmp],n.驼峰，驼背，小园丘，峰丘,v.(使)隆起，弓起
hunch,[hΛnt∫],n.圆形之隆起物，肉峰，预感，大块,vt.弯腰驼背，弓起背部，耸肩,vi.向前移动，隆起
hundredth,['hΛndrәdθ],adj.第一百的
Hungary,['hΛŋgәri],n.匈牙利
hunting,['hΛntiŋ],n.打猎，搜索，追逐
husbandry,['hΛzbәndri],n.管理
hyacinth,['haiәsinθ],n.[植]风信子，洋水仙，水葫芦，[矿]红锆英石（红风信子石）
hybrid,['haibrid],n.杂种，混血儿，混合物,adj.混合的，杂种的
hypocrisy,[hi'pokrәsi],n.伪善
hypocrite,['hipәkrit],n.伪君子，伪善者
hysteria,[his'tiәriә],n.歇斯底里，不正常的兴奋，癔病
hysterical,[his'terikәl],a歇斯底里的，异常兴奋的
iceberg,['aisbәg],n.冰山，冷冰冰的人
Iceland,['aislәnd],n.冰岛(欧洲岛名，在大西洋北部，近北极圈)
Idaho,['aidәhәu],n.爱达荷州(美国州名)
idealism,[ai'diәlizm],n.理想主义，唯心论
identity,[ai'dentiti],n.同一性，身份，一致，特性，恒等式
idolatry,[ai'dolәtri],n.偶像崇拜，过度崇拜，邪神崇拜
ignoble,[ig'nәubl],adj.不光彩的
illegal,[i'li:gәl],adj.违法的，不合规定的
illiterate,[i'litәrit],n.文盲,adj.不识字的，没受教育的
illumination,[i˛lju:mi'nei∫әn],n.照明，阐明，启发，灯彩(通常用复数)
illustrator,['ilәstreitә(r)],n.插图画家，图解者，说明者
imaginative,[i'mædӡinәtiv],adj.想象的，虚构的
immaculate,[i'mækjulit],adj.完美的
immemorial,[˛imi'mo:riәl],adj.古老的，远古的，无法追忆的
imminent,['iminәnt],adj.即将来临的，逼近的
immovable,[i'mu: vәbl],adj.固定的，不动的，不改变的
immunity,[i'mju:niti],n.免疫性
impact,['impækt],n.碰撞，冲击，冲突，影响，效果,vt.挤入，撞击，压紧，对...发生影响
impartial,[im'pα:∫әl],adj.公平的，不偏不倚的
impeach,[im'pi:t∫],vt.[律]控告，检举，<主美>弹劾，怀疑
impede,[im'pi:d],v.阻止
impediment,[im'pedimәnt],n.妨碍，阻碍，障碍物，(言语)障碍，口吃，障碍物
impending,[im'pendiŋ],n.迫近
imperious,[im'piәriәs],adj.专横的
impersonal,[im'pә:sәnl],adj.非个人的
impetuous,[im'petjuәs],adj.冲动的，猛烈的，激烈的
impetus,['impitәs],n.推动力，促进
impious,['impiәs],adj.不尊敬的，无信仰的，不虔诚的
implication,[˛impli'kei∫әn],n.牵连，含意，暗示
importation,[˛impo:'tei∫әn],n.进口，输入品
imposing,[im'pәuziŋ],adj.使人难忘的，壮丽的
impossibility,[im˛posә`bilәti],n.不可能之事，不可能
impoverish,[im'povәri∫],vt.使贫穷，使枯竭
impracticable,[im'præktikәbl],adj.不可行的
improbable,[im'probәbl],adj.不可能的
